model_id,recall,precision
rf_matched_flow_stats,0.0,1.0
rf_matched_flow_stats,0.002004008016032064,0.9999396086463339
rf_matched_flow_stats,0.004008016032064128,0.9998792172926679
rf_matched_flow_stats,0.0060120240480961915,0.9998188259390018
rf_matched_flow_stats,0.008016032064128256,0.9997584345853358
rf_matched_flow_stats,0.01002004008016032,0.9996980432316697
rf_matched_flow_stats,0.012024048096192383,0.9996376518780036
rf_matched_flow_stats,0.014028056112224447,0.997910509416273
rf_matched_flow_stats,0.01603206412825651,0.9817075679608805
rf_matched_flow_stats,0.018036072144288574,0.965504626505488
rf_matched_flow_stats,0.02004008016032064,0.9539915937955756
rf_matched_flow_stats,0.022044088176352703,0.9555126365176402
rf_matched_flow_stats,0.024048096192384766,0.9564711710103013
rf_matched_flow_stats,0.026052104208416832,0.9571216581540727
rf_matched_flow_stats,0.028056112224448895,0.9577721452978443
rf_matched_flow_stats,0.03006012024048096,0.9584226324416157
rf_matched_flow_stats,0.03206412825651302,0.9590731195853871
rf_matched_flow_stats,0.03406813627254509,0.9597236067291586
rf_matched_flow_stats,0.03607214428857715,0.9603740938729299
rf_matched_flow_stats,0.038076152304609215,0.9610245810167015
rf_matched_flow_stats,0.04008016032064128,0.961675068160473
rf_matched_flow_stats,0.04208416833667334,0.9623255553042444
rf_matched_flow_stats,0.044088176352705406,0.9629760424480159
rf_matched_flow_stats,0.04609218436873747,0.9636265295917873
rf_matched_flow_stats,0.04809619238476953,0.9642770167355588
rf_matched_flow_stats,0.0501002004008016,0.9649275038793304
rf_matched_flow_stats,0.052104208416833664,0.9655779910231017
rf_matched_flow_stats,0.05410821643286573,0.9662284781668733
rf_matched_flow_stats,0.05611222444889779,0.9668789653106445
rf_matched_flow_stats,0.058116232464929855,0.967529452454416
rf_matched_flow_stats,0.06012024048096192,0.9681799395981876
rf_matched_flow_stats,0.06212424849699398,0.9688304267419591
rf_matched_flow_stats,0.06412825651302605,0.9694809138857307
rf_matched_flow_stats,0.06613226452905811,0.9701314010295021
rf_matched_flow_stats,0.06813627254509018,0.9707818881732735
rf_matched_flow_stats,0.07014028056112225,0.9714323753170451
rf_matched_flow_stats,0.0721442885771543,0.9720828624608165
rf_matched_flow_stats,0.07414829659318636,0.972733349604588
rf_matched_flow_stats,0.07615230460921843,0.9733838367483595
rf_matched_flow_stats,0.0781563126252505,0.9740343238921307
rf_matched_flow_stats,0.08016032064128256,0.9746848110359023
rf_matched_flow_stats,0.08216432865731463,0.9753352981796738
rf_matched_flow_stats,0.08416833667334668,0.9759857853234452
rf_matched_flow_stats,0.08617234468937875,0.9766362724672167
rf_matched_flow_stats,0.08817635270541081,0.9770615706490549
rf_matched_flow_stats,0.09018036072144288,0.9772354789245565
rf_matched_flow_stats,0.09218436873747494,0.9772493859476762
rf_matched_flow_stats,0.09418837675350701,0.9772632929707958
rf_matched_flow_stats,0.09619238476953906,0.977245345540542
rf_matched_flow_stats,0.09819639278557113,0.9771654330828877
rf_matched_flow_stats,0.1002004008016032,0.9771818039496266
rf_matched_flow_stats,0.10220440881763526,0.9771981659114274
rf_matched_flow_stats,0.10420841683366733,0.9772143447903519
rf_matched_flow_stats,0.1062124248496994,0.9772305236692763
rf_matched_flow_stats,0.10821643286573146,0.9772465424075126
rf_matched_flow_stats,0.11022044088176351,0.9772625408119106
rf_matched_flow_stats,0.11222444889779558,0.977278438428434
rf_matched_flow_stats,0.11422845691382764,0.9772942798222254
rf_matched_flow_stats,0.11623246492985971,0.9772775107857746
rf_matched_flow_stats,0.11823647294589178,0.9772360633179243
