model_id,model,features,class_index,class_name,support,precision,recall,f1
rf_matched_flow_stats,RF,FlowFeatures,0,Chat,3985,0.801967213114754,0.9207026348808031,0.8572429906542055
rf_matched_flow_stats,RF,FlowFeatures,1,Cloud,5778,0.9568932776300798,0.8721010730356524,0.9125316914161535
rf_matched_flow_stats,RF,FlowFeatures,2,Collaborative,6632,0.727791466735832,0.8462002412545235,0.7825420065537195
rf_matched_flow_stats,RF,FlowFeatures,3,ConnCheck,281,0.9461883408071748,0.7508896797153025,0.8373015873015873
rf_matched_flow_stats,RF,FlowFeatures,4,Database,327,0.9257142857142857,0.9908256880733946,0.9571639586410635
rf_matched_flow_stats,RF,FlowFeatures,5,Download,651,0.7157894736842105,0.9400921658986175,0.8127490039840638
rf_matched_flow_stats,RF,FlowFeatures,6,Email,391,0.9762532981530343,0.9462915601023018,0.961038961038961
rf_matched_flow_stats,RF,FlowFeatures,7,Network,84447,0.987539232679065,0.9985434651319762,0.9930108634851473
rf_matched_flow_stats,RF,FlowFeatures,8,SocialNetwork,3883,0.9730005094243505,0.9837754313674993,0.9783583045204252
rf_matched_flow_stats,RF,FlowFeatures,9,SoftwareUpdate,737,0.8805460750853242,0.7001356852103121,0.7800453514739228
rf_matched_flow_stats,RF,FlowFeatures,10,System,1230,1.0,0.013821138211382113,0.027265437048917398
rf_matched_flow_stats,RF,FlowFeatures,11,Unspecified,5680,0.988997555012225,0.9970070422535211,0.9929861476415921
rf_matched_flow_stats,RF,FlowFeatures,12,VoIP,1569,0.58169375534645,0.8667941363926067,0.6961863322242129
rf_matched_flow_stats,RF,FlowFeatures,13,Web,110690,0.9867910153202192,0.9711988436173096,0.9789328464561013
xgboost_matched_flow_stats,XGBoost,FlowFeatures,0,Chat,3985,0.6477331052181352,0.9500627352572145,0.7702950152594099
xgboost_matched_flow_stats,XGBoost,FlowFeatures,1,Cloud,5778,0.8723753280839895,0.9203876773970232,0.8957385885127168
xgboost_matched_flow_stats,XGBoost,FlowFeatures,2,Collaborative,6632,0.45489992201715623,0.7916164053075995,0.5777802234083531
xgboost_matched_flow_stats,XGBoost,FlowFeatures,3,ConnCheck,281,0.8753993610223643,0.9750889679715302,0.9225589225589226
xgboost_matched_flow_stats,XGBoost,FlowFeatures,4,Database,327,0.9285714285714286,0.9938837920489296,0.9601181683899557
xgboost_matched_flow_stats,XGBoost,FlowFeatures,5,Download,651,0.6206896551724138,0.9400921658986175,0.7477092241905926
xgboost_matched_flow_stats,XGBoost,FlowFeatures,6,Email,391,0.9539295392953929,0.9002557544757033,0.9263157894736842
xgboost_matched_flow_stats,XGBoost,FlowFeatures,7,Network,84447,0.9965425374459771,0.9966369438819614,0.996589738428201
xgboost_matched_flow_stats,XGBoost,FlowFeatures,8,SocialNetwork,3883,0.9086668303461822,0.9531290239505537,0.9303670186023127
xgboost_matched_flow_stats,XGBoost,FlowFeatures,9,SoftwareUpdate,737,0.7899603698811096,0.8113975576662144,0.8005354752342704
xgboost_matched_flow_stats,XGBoost,FlowFeatures,10,System,1230,0.9845904298459043,0.9869918699186991,0.9857896873731221
xgboost_matched_flow_stats,XGBoost,FlowFeatures,11,Unspecified,5680,0.9835779175401816,0.9911971830985915,0.9873728516310067
xgboost_matched_flow_stats,XGBoost,FlowFeatures,12,VoIP,1569,0.5119544592030361,0.8597833014659019,0.6417697431018077
xgboost_matched_flow_stats,XGBoost,FlowFeatures,13,Web,110690,0.987184016329094,0.9088264522540428,0.9463860692211445
rf_flattened_splt,RF,SPLT,0,Chat,3985,0.7202830188679246,0.7663739021329987,0.742613981762918
rf_flattened_splt,RF,SPLT,1,Cloud,5778,0.9927434456928839,0.7339910003461405,0.8439800995024874
rf_flattened_splt,RF,SPLT,2,Collaborative,6632,0.9579617834394905,0.45355850422195415,0.6156365124846501
rf_flattened_splt,RF,SPLT,3,ConnCheck,281,0.925531914893617,0.6192170818505338,0.742004264392324
rf_flattened_splt,RF,SPLT,4,Database,327,0.7926829268292683,0.9938837920489296,0.881953867028494
rf_flattened_splt,RF,SPLT,5,Download,651,0.9491525423728814,0.08602150537634409,0.15774647887323945
rf_flattened_splt,RF,SPLT,6,Email,391,0.9910313901345291,0.5652173913043478,0.719869706840391
rf_flattened_splt,RF,SPLT,7,Network,84447,0.9760403384722384,0.9971106137577416,0.986462976739282
rf_flattened_splt,RF,SPLT,8,SocialNetwork,3883,0.9987163029525032,0.20036054596961111,0.3337623337623337
rf_flattened_splt,RF,SPLT,9,SoftwareUpdate,737,0.9636363636363636,0.14382632293080055,0.2502951593860685
rf_flattened_splt,RF,SPLT,10,System,1230,0.9285714285714286,0.01056910569105691,0.02090032154340836
rf_flattened_splt,RF,SPLT,11,Unspecified,5680,0.9676252798346823,0.9892605633802817,0.9783233220161923
rf_flattened_splt,RF,SPLT,12,VoIP,1569,0.543031226199543,0.9088591459528362,0.6798569725864124
rf_flattened_splt,RF,SPLT,13,Web,110690,0.9259710689588042,0.9883187279790405,0.9561295792127884
xgboost_flattened_splt,XGBoost,SPLT,0,Chat,3985,0.8673864894795127,0.786198243412798,0.8247992628669211
xgboost_flattened_splt,XGBoost,SPLT,1,Cloud,5778,0.9995138551288284,0.7116649359640014,0.8313788920339669
xgboost_flattened_splt,XGBoost,SPLT,2,Collaborative,6632,0.8139097744360902,0.6528950542822678,0.7245649263721552
xgboost_flattened_splt,XGBoost,SPLT,3,ConnCheck,281,0.8151658767772512,0.6120996441281139,0.6991869918699187
xgboost_flattened_splt,XGBoost,SPLT,4,Database,327,0.9180790960451978,0.9938837920489296,0.9544787077826724
xgboost_flattened_splt,XGBoost,SPLT,5,Download,651,0.9894179894179894,0.5745007680491552,0.7269193391642371
xgboost_flattened_splt,XGBoost,SPLT,6,Email,391,0.9923371647509579,0.6624040920716112,0.794478527607362
xgboost_flattened_splt,XGBoost,SPLT,7,Network,84447,0.9985415999715435,0.9972645564673701,0.9979026696526964
xgboost_flattened_splt,XGBoost,SPLT,8,SocialNetwork,3883,1.0,0.553180530517641,0.7123196816448351
xgboost_flattened_splt,XGBoost,SPLT,9,SoftwareUpdate,737,1.0,0.15061058344640435,0.26179245283018865
xgboost_flattened_splt,XGBoost,SPLT,10,System,1230,0.974025974025974,0.975609756097561,0.9748172217709179
xgboost_flattened_splt,XGBoost,SPLT,11,Unspecified,5680,0.9787509238728751,0.9325704225352113,0.9551027767760549
xgboost_flattened_splt,XGBoost,SPLT,12,VoIP,1569,0.49340369393139843,0.9534735500318674,0.6502934144751141
xgboost_flattened_splt,XGBoost,SPLT,13,Web,110690,0.9476748706341733,0.9910561026289638,0.9688801353075995
cnn1d_sequential_splt,CNN1D,SPLT,0,Chat,3985,0.8292323869610936,0.9894604767879548,0.9022883295194509
cnn1d_sequential_splt,CNN1D,SPLT,1,Cloud,5778,0.9041718946047679,0.9977500865351333,0.9486588777357249
cnn1d_sequential_splt,CNN1D,SPLT,2,Collaborative,6632,0.6370926287652925,0.9344089264173703,0.7576257717464392
cnn1d_sequential_splt,CNN1D,SPLT,3,ConnCheck,281,0.8333333333333334,0.99644128113879,0.9076175040518638
cnn1d_sequential_splt,CNN1D,SPLT,4,Database,327,0.6865671641791045,0.9847094801223242,0.8090452261306533
cnn1d_sequential_splt,CNN1D,SPLT,5,Download,651,0.876577840112202,0.9600614439324117,0.9164222873900294
cnn1d_sequential_splt,CNN1D,SPLT,6,Email,391,0.44585253456221197,0.989769820971867,0.6147736298649722
cnn1d_sequential_splt,CNN1D,SPLT,7,Network,84447,0.997819897308824,0.9918410363896882,0.9948214837161794
cnn1d_sequential_splt,CNN1D,SPLT,8,SocialNetwork,3883,0.9733668341708542,0.9976822044810714,0.985374538980033
cnn1d_sequential_splt,CNN1D,SPLT,9,SoftwareUpdate,737,0.9362808842652796,0.9769335142469471,0.9561752988047808
cnn1d_sequential_splt,CNN1D,SPLT,10,System,1230,0.9388846447669977,0.9991869918699187,0.9680976762504923
cnn1d_sequential_splt,CNN1D,SPLT,11,Unspecified,5680,0.986410405746457,0.8945422535211267,0.9382328501523404
cnn1d_sequential_splt,CNN1D,SPLT,12,VoIP,1569,0.7166589755422242,0.9898024219247928,0.8313704496788008
cnn1d_sequential_splt,CNN1D,SPLT,13,Web,110690,0.9966042376087779,0.9518565362724727,0.9737165565362045
