model_id,model,features,metric,point,bootstrap_mean,lower,upper,standard_deviation
rf_matched_flow_stats,RF,FlowFeatures,accuracy,0.9679955453617405,0.9679999160336036,0.9673325422814996,0.9687072710479449,0.0003623520991054186
rf_matched_flow_stats,RF,FlowFeatures,balanced_accuracy,0.842741341796086,0.8426568376352078,0.8376444877865385,0.8477022678940299,0.002586598567846243
rf_matched_flow_stats,RF,FlowFeatures,macro_f1,0.8262396773171482,0.8260976822926894,0.8215697312464552,0.830567769865218,0.0022558151203731897
rf_matched_flow_stats,RF,FlowFeatures,weighted_f1,0.9664373865192855,0.9664458350332213,0.9657430193321902,0.9671965707402103,0.0003775680751302797
xgboost_matched_flow_stats,XGBoost,FlowFeatures,accuracy,0.9420587676384672,0.9420748538321821,0.9411085110990317,0.9429918994524508,0.0004907355773165532
xgboost_matched_flow_stats,XGBoost,FlowFeatures,balanced_accuracy,0.9270964164708989,0.9271063007793509,0.9230102724354823,0.931208267188386,0.00211988436531067
xgboost_matched_flow_stats,XGBoost,FlowFeatures,macro_f1,0.8635233225275357,0.8634476056813741,0.8591922917806585,0.8676003056152558,0.002147686922280764
xgboost_matched_flow_stats,XGBoost,FlowFeatures,weighted_f1,0.9476890272717962,0.9477073223140596,0.9468427965048589,0.9484983043151582,0.00042145740624404174
rf_flattened_splt,RF,SPLT,accuracy,0.9396325807292703,0.9396287845643252,0.9386463070253358,0.9406181915406066,0.000502698266545329
rf_flattened_splt,RF,SPLT,balanced_accuracy,0.6040405859244727,0.6040187772936173,0.5973985397567825,0.6100967739886349,0.0031827251748623134
rf_flattened_splt,RF,SPLT,macro_f1,0.6363953982950706,0.6362910319516688,0.6295930156602382,0.6424315160528211,0.003363077730492761
rf_flattened_splt,RF,SPLT,weighted_f1,0.9283473533250837,0.9283400861000504,0.9271076820548068,0.9295608324826901,0.0006242090727994722
xgboost_flattened_splt,XGBoost,SPLT,accuracy,0.9584233762445808,0.958408328582604,0.957579182520848,0.9592101192764748,0.0004229322883131663
xgboost_flattened_splt,XGBoost,SPLT,balanced_accuracy,0.753386573691564,0.7534330166125836,0.7467956943265395,0.7593961234262129,0.0032658567871114417
xgboost_flattened_splt,XGBoost,SPLT,macro_f1,0.79120821429676,0.7911805783543627,0.7851131951037048,0.7968403390441198,0.0030098644179172357
xgboost_flattened_splt,XGBoost,SPLT,weighted_f1,0.9559208469723384,0.9559091198549947,0.9550063572747505,0.9568384531261415,0.0004709838896234989
cnn1d_sequential_splt,CNN1D,SPLT,accuracy,0.9682430252650466,0.9682599687998545,0.9675446679129047,0.9689637000013258,0.0003676465125005835
cnn1d_sequential_splt,CNN1D,SPLT,balanced_accuracy,0.9753176053294192,0.9753382969696277,0.9732656025536983,0.9772751879526559,0.0010427081079625782
cnn1d_sequential_splt,CNN1D,SPLT,macro_f1,0.8931586057541405,0.8930796185070222,0.8888582962762523,0.8970157061357726,0.002109401192211111
cnn1d_sequential_splt,CNN1D,SPLT,weighted_f1,0.9704912864425937,0.9705094790343405,0.9698644625257198,0.9711540819197377,0.00032565912668372054
