accuracy,loss,val_accuracy,val_loss,learning_rate
0.6710025072097778,0.1218673512339592,0.7452825903892517,0.08770613372325897,0.0007999999797903001
0.8224815130233765,0.05167582258582115,0.7304785847663879,0.10072783380746841,0.0007999999797903001
0.8455526828765869,0.042416270822286606,0.8429449200630188,0.05764974281191826,0.0007999999797903001
0.8686705827713013,0.031592804938554764,0.841000497341156,0.04598471149802208,0.0007999999797903001
0.8745065331459045,0.028704272583127022,0.8795793056488037,0.03913021460175514,0.0007999999797903001
0.8826159238815308,0.024644628167152405,0.7451058626174927,0.0783127173781395,0.0007999999797903001
0.8805830478668213,0.02436240017414093,0.9002607464790344,0.02593623846769333,0.0007999999797903001
0.8948107361793518,0.021121878176927567,0.8849706053733826,0.030908217653632164,0.0007999999797903001
0.8944743871688843,0.020509693771600723,0.8523133993148804,0.04095611348748207,0.0007999999797903001
0.8839269876480103,0.023490140214562416,0.8931017518043518,0.03461189195513725,0.0007999999797903001
0.904614269733429,0.015229425393044949,0.9223562479019165,0.019518893212080002,0.00039999998989515007
0.9182502627372742,0.011811906471848488,0.9292942881584167,0.01715829037129879,0.00039999998989515007
0.922843873500824,0.009950638748705387,0.9083034992218018,0.019546253606677055,0.00039999998989515007
0.9223945736885071,0.010559508576989174,0.8938530087471008,0.022694984450936317,0.00039999998989515007
0.920221745967865,0.011287522502243519,0.9160811305046082,0.018001964315772057,0.00039999998989515007
0.9287264347076416,0.008731107227504253,0.9344204068183899,0.014623422175645828,0.00019999999494757503
0.9339878559112549,0.007745170034468174,0.9394581913948059,0.013642187230288982,0.00019999999494757503
0.9333789944648743,0.007937641814351082,0.9341111183166504,0.01370149664580822,0.00019999999494757503
0.9355567097663879,0.007067608647048473,0.9390162825584412,0.013183269649744034,0.00019999999494757503
0.9359421730041504,0.007396954111754894,0.9426841735839844,0.012417172081768513,0.00019999999494757503
0.938060998916626,0.0071427784860134125,0.9256706237792969,0.014845251105725765,0.00019999999494757503
0.9392321109771729,0.006762975361198187,0.9347739815711975,0.014510017819702625,0.00019999999494757503
0.9372507929801941,0.007216795347630978,0.9456449747085571,0.012597844935953617,0.00019999999494757503
0.9416676759719849,0.005979220848530531,0.9473684430122375,0.011923099867999554,9.999999747378752e-05
0.9447047114372253,0.005647194106131792,0.9489151239395142,0.011807230301201344,9.999999747378752e-05
0.9463619589805603,0.005297817289829254,0.9488267302513123,0.01156284473836422,9.999999747378752e-05
0.9476091861724854,0.005026339553296566,0.9436121582984924,0.012552768923342228,9.999999747378752e-05
0.9490331411361694,0.005014924798160791,0.9437447786331177,0.012220855802297592,9.999999747378752e-05
0.9493154883384705,0.004950484726577997,0.9507269263267517,0.011305682361125946,9.999999747378752e-05
0.9496543407440186,0.005076818633824587,0.9457775354385376,0.012674004770815372,9.999999747378752e-05
0.9498163461685181,0.005081058945506811,0.9511688351631165,0.011559510603547096,9.999999747378752e-05
0.9514294266700745,0.004812421277165413,0.9478545188903809,0.011759348213672638,9.999999747378752e-05
0.9535163044929504,0.004304749891161919,0.9552786350250244,0.010648715309798717,4.999999873689376e-05
0.9544001817703247,0.004189481493085623,0.9526271820068359,0.010918883606791496,4.999999873689376e-05
0.9555197358131409,0.004043616354465485,0.9539086818695068,0.010692044161260128,4.999999873689376e-05
0.9562341570854187,0.004007532261312008,0.9522736072540283,0.011000367812812328,4.999999873689376e-05
0.9563225507736206,0.003959386609494686,0.9577533006668091,0.010140664875507355,2.499999936844688e-05
0.9573315978050232,0.003747663926333189,0.9566485285758972,0.010400575585663319,2.499999936844688e-05
0.9579699635505676,0.0036454470828175545,0.955322802066803,0.010409782640635967,2.499999936844688e-05
0.9581983089447021,0.0036459180992096663,0.9552344083786011,0.0104221748188138,2.499999936844688e-05
0.9588513970375061,0.0036025468725711107,0.9569137096405029,0.010212255641818047,1.249999968422344e-05
0.95948725938797,0.003500707447528839,0.9569137096405029,0.010250603780150414,1.249999968422344e-05
0.9592638611793518,0.003592836670577526,0.9581952095031738,0.010151977650821209,1.249999968422344e-05
0.9593227505683899,0.0035132679622620344,0.9588139057159424,0.01001573447138071,6.24999984211172e-06
0.9595339298248291,0.003388219280168414,0.9585045576095581,0.010069344192743301,6.24999984211172e-06
0.9600396752357483,0.0033654985018074512,0.9594326019287109,0.009931810200214386,6.24999984211172e-06
0.9601501822471619,0.0033770741429179907,0.9599629044532776,0.00987071543931961,6.24999984211172e-06
0.9604398608207703,0.003327022073790431,0.95960932970047,0.009967555291950703,6.24999984211172e-06
0.9605798125267029,0.003251981921494007,0.9598745107650757,0.009918052703142166,6.24999984211172e-06
0.9601722359657288,0.003336686873808503,0.9590790867805481,0.009982630610466003,6.24999984211172e-06
